BASKET_ID,PRODUCT
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
9.94E+14,PRD0903678
